4.1289,4.2541,4.3742,4.4894,4.6,4.7061,4.8078,4.9053,4.9988,5.0884,5.1743,5.2566,5.3354,5.4108,5.483,5.5521,5.6182,5.6814,5.7418,5.7996,5.8547,5.9073,5.9575,6.0053,6.0509,6.0943,6.1355,6.1747,6.2119,6.2472,6.2806,6.3121,6.3418,6.3698,6.3961,6.4207,6.4436,6.4649,6.4845,6.5026,6.519,6.5338,6.547,6.5585,6.5684,6.5766,6.583,6.5877,6.5906,6.5915
4.1562,4.2824,4.4036,4.52,4.6318,4.739,4.8419,4.9406,5.0353,5.1261,5.2132,5.2966,5.3766,5.4533,5.5267,5.597,5.6642,5.7286,5.7902,5.8491,5.9054,5.9591,6.0104,6.0594,6.1061,6.1506,6.1929,6.2331,6.2714,6.3076,6.342,6.3745,6.4051,6.434,6.4611,6.4865,6.5102,6.5322,6.5525,6.5712,6.5882,6.6035,6.6172,6.6292,6.6394,6.6479,6.6546,6.6595,6.6625,6.6635
4.1776,4.3047,4.4268,4.5441,4.6567,4.7649,4.8687,4.9683,5.064,5.1557,5.2437,5.3281,5.4091,5.4867,5.561,5.6322,5.7005,5.7658,5.8283,5.8881,5.9453,6,6.0522,6.1021,6.1497,6.195,6.2382,6.2793,6.3183,6.3554,6.3905,6.4238,6.4552,6.4848,6.5126,6.5386,6.5629,6.5855,6.6064,6.6256,6.6431,6.6588,6.6729,6.6852,6.6958,6.7045,6.7114,6.7164,6.7195,6.7205
4.1946,4.3225,4.4453,4.5633,4.6767,4.7855,4.8901,4.9905,5.0869,5.1794,5.2681,5.3533,5.435,5.5133,5.5884,5.6604,5.7294,5.7955,5.8588,5.9194,5.9773,6.0327,6.0857,6.1363,6.1845,6.2306,6.2744,6.3162,6.3559,6.3936,6.4294,6.4633,6.4952,6.5254,6.5538,6.5803,6.6051,6.6282,6.6495,6.6691,6.687,6.7031,6.7175,6.7301,6.7409,6.7499,6.7569,6.7621,6.7652,6.7662
4.2079,4.3363,4.4597,4.5782,4.6921,4.8016,4.9067,5.0077,5.1046,5.1977,5.2871,5.3728,5.4551,5.5341,5.6098,5.6824,5.7519,5.8186,5.8825,5.9436,6.0022,6.0581,6.1117,6.1628,6.2117,6.2582,6.3027,6.345,6.3852,6.4234,6.4597,6.494,6.5265,6.5571,6.5859,6.6128,6.6381,6.6615,6.6832,6.7031,6.7213,6.7377,6.7523,6.7651,6.7761,6.7852,6.7924,6.7977,6.8009,6.8019
4.2184,4.3472,4.4711,4.5901,4.7044,4.8143,4.9199,5.0213,5.1187,5.2123,5.3021,5.3883,5.4711,5.5505,5.6267,5.6998,5.7698,5.8369,5.9013,5.9629,6.0219,6.0783,6.1323,6.1839,6.2332,6.2802,6.325,6.3678,6.4084,6.447,6.4837,6.5184,6.5512,6.5822,6.6113,6.6386,6.6642,6.6879,6.7099,6.7301,6.7485,6.7651,6.7799,6.7929,6.8041,6.8133,6.8206,6.8259,6.8291,6.8302
4.2264,4.3556,4.4797,4.5991,4.7138,4.824,4.9299,5.0317,5.1295,5.2234,5.3136,5.4001,5.4833,5.563,5.6396,5.713,5.7834,5.8509,5.9156,5.9776,6.0369,6.0937,6.148,6.2,6.2496,6.2969,6.3421,6.3851,6.4261,6.465,6.502,6.537,6.5701,6.6014,6.6308,6.6583,6.6841,6.708,6.7302,6.7506,6.7692,6.786,6.801,6.8141,6.8254,6.8347,6.8421,6.8475,6.8507,6.8518
4.2326,4.3621,4.4865,4.6061,4.721,4.8315,4.9377,5.0398,5.1378,5.232,5.3224,5.4093,5.4927,5.5727,5.6496,5.7233,5.7939,5.8617,5.9267,5.9889,6.0485,6.1056,6.1602,6.2124,6.2623,6.3099,6.3553,6.3986,6.4398,6.479,6.5162,6.5514,6.5848,6.6162,6.6458,6.6736,6.6995,6.7237,6.746,6.7665,6.7853,6.8022,6.8173,6.8306,6.8419,6.8513,6.8588,6.8641,6.8674,6.8686
4.2372,4.3668,4.4914,4.6112,4.7264,4.8371,4.9434,5.0457,5.1439,5.2383,5.329,5.416,5.4996,5.5799,5.6569,5.7308,5.8017,5.8697,5.9348,5.9973,6.0571,6.1144,6.1691,6.2215,6.2716,6.3194,6.365,6.4085,6.4499,6.4893,6.5266,6.562,6.5955,6.6271,6.6569,6.6848,6.7108,6.7351,6.7576,6.7782,6.7971,6.8141,6.8293,6.8426,6.854,6.8635,6.871,6.8764,6.8797,6.8808
4.2406,4.3703,4.495,4.615,4.7303,4.8411,4.9477,5.0501,5.1484,5.243,5.3338,5.421,5.5047,5.5851,5.6623,5.7364,5.8074,5.8755,5.9408,6.0034,6.0634,6.1208,6.1758,6.2283,6.2785,6.3265,6.3722,6.4158,6.4573,6.4968,6.5343,6.5698,6.6034,6.6352,6.665,6.693,6.7192,6.7436,6.7661,6.7869,6.8058,6.8229,6.8382,6.8515,6.863,6.8725,6.88,6.8855,6.8888,6.8899
